Position,Country,Gain_Earn,Players
1.,United States United States,1594769.33,636
2.,Korea Republic of Korea Republic of,1455668.07,253
3.,Sweden Sweden,403858.55,171
4.,China China,349749.20,109
5.,Germany Germany,342844.14,476
6.,Ukraine Ukraine,272262.62,88
7.,France France,232367.67,211
8.,Russian Federation Russian Federation,173172.72,153
9.,Denmark Denmark,157860.82,118
10.,Canada Canada,132270.12,111
11.,United Kingdom United Kingdom,117667.40,183
12.,Brazil Brazil,94267.91,45
13.,Finland Finland,90040.65,105
14.,Poland Poland,88434.53,69
15.,Kazakhstan Kazakhstan,52204.30,73
16.,Netherlands Netherlands,48875.60,64
17.,Italy Italy,42598.94,15
18.,Japan Japan,39709.04,20
19.,Belarus Belarus,34623.98,10
20.,Norway Norway,30380.33,48
21.,Austria Austria,23196.93,33
22.,Peru Peru,20341.74,5
23.,Australia Australia,18683.11,25
24.,Belgium Belgium,16542.52,33
25.,Thailand Thailand,15697.88,5
26.,Spain Spain,15258.98,37
27.,Taiwan Republic of China Taiwan Republic of China,14679.41,26
28.,Portugal Portugal,11851.38,37
29.,Singapore Singapore,11356.72,15
30.,Argentina Argentina,11292.86,8
31.,Turkey Turkey,10234.69,14
32.,Hungary Hungary,9377.64,6
33.,Czech Republic Czech Republic,8807.41,21
34.,Malaysia Malaysia,8593.47,21
35.,Viet Nam Viet Nam,7667.60,33
36.,Mexico Mexico,7000.00,6
37.,Bulgaria Bulgaria,6334.64,18
38.,Slovakia Slovakia,5025.99,7
39.,Serbia Serbia,4802.68,10
40.,Switzerland Switzerland,4362.14,10
41.,Romania Romania,4053.15,19
42.,Bosnia and Herzegovina Bosnia and Herzegovina,3416.27,1
43.,Malta Malta,2508.10,12
44.,Estonia Estonia,2357.36,6
45.,Hong Kong Hong Kong,2280.45,11
46.,Israel Israel,1715.02,1
47.,Ireland Ireland,1618.91,8
48.,Chile Chile,1090.00,2
49.,Indonesia Indonesia,1038.35,6
50.,Lithuania Lithuania,1031.62,4
