Position,Country,Gain_Earn,Players
1.,China China,51412701.14,2011
2.,United States United States,32008254.94,5125
3.,Russian Federation Russian Federation,23001704.00,1113
4.,Korea Republic of Korea Republic of,13416958.90,1127
5.,Brazil Brazil,10516819.85,1436
6.,Ukraine Ukraine,10468302.66,348
7.,Japan Japan,10166562.50,1041
8.,United Kingdom United Kingdom,6773226.37,1024
9.,France France,6047085.29,1175
10.,Denmark Denmark,5643106.50,381
11.,Canada Canada,5337842.03,767
12.,Thailand Thailand,5181782.53,868
13.,Germany Germany,4985950.79,1153
14.,Indonesia Indonesia,3901129.28,762
15.,Malaysia Malaysia,3728215.10,483
16.,Sweden Sweden,3667707.31,456
17.,Poland Poland,3572974.00,610
18.,Philippines Philippines,3449444.75,564
19.,Australia Australia,3176722.52,703
20.,Saudi Arabia Saudi Arabia,2975944.13,324
21.,Viet Nam Viet Nam,2863920.42,769
22.,Finland Finland,2761573.62,365
23.,Taiwan Republic of China Taiwan Republic of China,2503895.60,415
24.,Turkey Turkey,2379784.41,503
25.,Spain Spain,1959705.98,482
26.,Argentina Argentina,1691660.54,378
27.,Mexico Mexico,1609440.79,360
28.,Netherlands Netherlands,1438658.42,453
29.,Peru Peru,1407721.21,177
30.,Norway Norway,1287568.69,248
31.,Singapore Singapore,1179317.08,278
32.,Italy Italy,1098111.19,321
33.,Czech Republic Czech Republic,1018304.77,353
34.,Kazakhstan Kazakhstan,1006701.59,82
35.,Jordan Jordan,970068.36,30
36.,Estonia Estonia,876235.59,97
37.,India India,852136.30,397
38.,Bulgaria Bulgaria,781688.12,93
39.,Serbia Serbia,681382.96,82
40.,Slovenia Slovenia,669759.28,26
41.,Pakistan Pakistan,635320.25,96
42.,Mongolia Mongolia,632934.00,98
43.,Belarus Belarus,610092.64,79
44.,Chile Chile,605316.19,203
45.,Portugal Portugal,562918.16,207
46.,Israel Israel,509514.99,47
47.,Belgium Belgium,503075.74,180
48.,Switzerland Switzerland,483473.04,155
49.,Austria Austria,437362.11,106
50.,Moldova Republic of Moldova Republic of,429854.54,16
51.,Croatia Croatia,403828.01,58
52.,Hong Kong Hong Kong,372674.91,191
53.,Egypt Egypt,363977.73,55
54.,North Macedonia North Macedonia,357512.59,29
55.,Romania Romania,329353.64,138
56.,Bosnia and Herzegovina Bosnia and Herzegovina,322900.92,21
57.,Nepal Nepal,312491.74,58
58.,Iraq Iraq,292451.84,37
59.,Slovakia Slovakia,289526.42,105
60.,Latvia Latvia,270005.10,95
61.,Colombia Colombia,267671.79,82
62.,South Africa South Africa,255888.40,194
63.,Hungary Hungary,250970.53,164
64.,Uruguay Uruguay,250764.54,46
65.,Lebanon Lebanon,228470.11,35
66.,Azerbaijan Azerbaijan,227770.32,16
67.,New Zealand New Zealand,222236.84,79
68.,Morocco Morocco,213521.01,51
69.,Bolivia Bolivia,208571.00,20
70.,Kuwait Kuwait,193478.98,25
71.,Lithuania Lithuania,186474.14,87
72.,Uzbekistan Uzbekistan,179835.93,8
73.,Ireland Ireland,172540.21,56
74.,Greece Greece,166273.28,96
75.,Armenia Armenia,164782.23,10
76.,Myanmar Myanmar,159191.63,33
77.,Syrian Arab Republic Syrian Arab Republic,134139.04,21
78.,Puerto Rico Puerto Rico,129814.85,30
79.,Kosovo Republic of Kosovo Republic of,108255.39,28
80.,Cambodia Cambodia,108008.04,83
81.,Bangladesh Bangladesh,106636.47,46
82.,Algeria Algeria,99320.94,30
83.,Iran Islamic Republic of Iran Islamic Republic of,97312.64,40
84.,Afghanistan Afghanistan,93745.83,5
85.,Ecuador Ecuador,84283.55,24
86.,Georgia Georgia,78585.90,26
87.,Cuba Cuba,78231.58,10
88.,Dominican Republic Dominican Republic,76790.41,23
89.,Venezuela Venezuela,70242.11,30
90.,Bahrain Bahrain,67831.46,12
91.,United Arab Emirates United Arab Emirates,58954.47,34
92.,Kyrgyzstan Kyrgyzstan,58225.77,10
93.,Senegal Senegal,47552.50,3
94.,Tunisia Tunisia,38940.43,17
95.,Albania Albania,33311.06,26
96.,Honduras Honduras,32628.87,8
97.,Nicaragua Nicaragua,31743.74,5
98.,Lao People's Democratic Republic Lao People's Democratic Republic,30849.87,15
99.,Guatemala Guatemala,28912.05,10
100.,Macao Macao,26576.44,7
101.,Brunei Darussalam Brunei Darussalam,25620.45,93
102.,Montenegro Montenegro,25077.16,5
103.,Costa Rica Costa Rica,22527.83,16
104.,Luxembourg Luxembourg,18462.07,11
105.,Iceland Iceland,17429.26,19
106.,Qatar Qatar,14636.36,5
107.,Paraguay Paraguay,12918.67,11
108.,Palestine State of Palestine State of,12426.20,4
109.,Oman Oman,11100.00,2
110.,Malta Malta,10863.92,47
111.,Sri Lanka Sri Lanka,10059.07,9
112.,Monaco Monaco,8500.00,2
113.,Yemen Yemen,5170.00,1
114.,Panama Panama,4740.00,4
115.,Tanzania United Republic of Tanzania United Republic of,4500.00,1
116.,Tajikistan Tajikistan,3475.00,1
117.,Trinidad and Tobago Trinidad and Tobago,1712.05,3
118.,French Polynesia French Polynesia,1500.00,1
119.,Angola Angola,1200.00,3
120.,Libyan Arab Jamahiriya Libyan Arab Jamahiriya,1000.00,1
121.,El Salvador El Salvador,825.00,1
122.,Guyana Guyana,700.00,1
123.,Jamaica Jamaica,426.00,3
124.,Isle of Man Isle of Man,410.00,1
125.,Côte D'Ivoire Côte D'Ivoire,250.00,1
126.,Gibraltar Gibraltar,225.00,1
127.,Mauritius Mauritius,175.00,5
128.,Guernsey Guernsey,159.90,1
129.,Jersey Jersey,138.76,1
130.,Wallis And Futuna Wallis And Futuna,100.00,1
131.,Zimbabwe Zimbabwe,100.00,1
