Position,Country,Gain_Earn,Players
1.,United States United States,46458429.82,6245
2.,China China,24798866.67,1454
3.,Korea Republic of Korea Republic of,17389023.94,1226
4.,France France,10744787.03,1328
5.,Finland Finland,9981772.07,388
6.,Denmark Denmark,9851072.45,525
7.,Canada Canada,8161800.37,976
8.,United Kingdom United Kingdom,7223431.61,1015
9.,Sweden Sweden,7072338.24,594
10.,Australia Australia,6879920.41,940
11.,Brazil Brazil,6374129.77,1209
12.,Germany Germany,6224021.20,1196
13.,Russian Federation Russian Federation,6009773.03,886
14.,Japan Japan,3666316.79,712
15.,Norway Norway,3602053.79,245
16.,Philippines Philippines,3454042.11,318
17.,Netherlands Netherlands,3249907.89,493
18.,Poland Poland,3063691.54,538
19.,Taiwan Republic of China Taiwan Republic of China,3006507.06,326
20.,Austria Austria,2819763.06,206
21.,Thailand Thailand,2556184.41,626
22.,Malaysia Malaysia,2486373.53,296
23.,Bulgaria Bulgaria,2301167.58,86
24.,Argentina Argentina,2228729.79,241
25.,Indonesia Indonesia,2108230.46,696
26.,Spain Spain,1940543.18,541
27.,Jordan Jordan,1755236.25,26
28.,Hong Kong Hong Kong,1614108.88,99
29.,Viet Nam Viet Nam,1469586.60,554
30.,Ukraine Ukraine,1391945.15,301
31.,Italy Italy,1239617.96,252
32.,Lebanon Lebanon,1168118.58,30
33.,Romania Romania,1063526.31,103
34.,Belgium Belgium,1059645.28,200
35.,Estonia Estonia,1008902.87,46
36.,Peru Peru,987961.74,126
37.,Switzerland Switzerland,937407.25,184
38.,Mexico Mexico,859490.47,188
39.,India India,811459.19,251
40.,Saudi Arabia Saudi Arabia,786636.98,124
41.,Turkey Turkey,783886.20,202
42.,New Zealand New Zealand,770361.75,101
43.,Israel Israel,727147.80,77
44.,Pakistan Pakistan,638113.55,105
45.,Czech Republic Czech Republic,597568.74,248
46.,Kazakhstan Kazakhstan,526841.80,105
47.,Singapore Singapore,513983.22,221
48.,Belarus Belarus,498195.48,115
49.,Portugal Portugal,484187.54,241
50.,Slovenia Slovenia,474904.51,51
51.,Slovakia Slovakia,410407.72,64
