Position,Country,Gain_Earn,Players
1.,United States United States,30670957.29,4398
2.,China China,22818942.61,1458
3.,Korea Republic of Korea Republic of,14494910.29,1274
4.,Denmark Denmark,10621239.74,433
5.,Finland Finland,7582236.19,363
6.,Russian Federation Russian Federation,7189891.63,895
7.,Sweden Sweden,6508582.43,555
8.,France France,6503944.84,1076
9.,Canada Canada,5357267.32,780
10.,Germany Germany,4562291.71,906
11.,Australia Australia,4257200.79,781
12.,Brazil Brazil,3732631.47,813
13.,United Kingdom United Kingdom,3305656.01,869
14.,Poland Poland,3097544.04,554
15.,Japan Japan,2855578.33,371
16.,Ukraine Ukraine,2654395.20,208
17.,Malaysia Malaysia,2482681.23,284
18.,Taiwan Republic of China Taiwan Republic of China,2151686.35,338
19.,Thailand Thailand,1998360.24,460
20.,Netherlands Netherlands,1973346.79,343
21.,Philippines Philippines,1685755.98,256
22.,Bulgaria Bulgaria,1383281.44,99
23.,Turkey Turkey,1321935.22,214
24.,Jordan Jordan,1145049.27,13
25.,Norway Norway,1122846.00,230
26.,Spain Spain,1085935.49,428
27.,Israel Israel,1018137.57,59
28.,Viet Nam Viet Nam,962166.55,359
29.,Pakistan Pakistan,896217.07,66
30.,Indonesia Indonesia,880415.93,360
31.,Belgium Belgium,879740.22,140
32.,Saudi Arabia Saudi Arabia,790281.26,36
33.,Czech Republic Czech Republic,758885.52,184
34.,Singapore Singapore,706083.88,212
35.,Estonia Estonia,687358.24,51
36.,Lebanon Lebanon,683522.30,25
37.,Italy Italy,556113.88,221
38.,Switzerland Switzerland,506836.56,123
39.,Mexico Mexico,496262.78,131
40.,Slovakia Slovakia,492321.82,80
41.,Argentina Argentina,412931.42,184
42.,Hong Kong Hong Kong,390571.92,106
43.,Kazakhstan Kazakhstan,381054.49,68
44.,Greece Greece,345945.04,128
45.,Hungary Hungary,343535.19,119
46.,Belarus Belarus,307038.50,90
47.,Croatia Croatia,284448.57,45
48.,Lithuania Lithuania,273107.56,82
49.,New Zealand New Zealand,268252.43,79
50.,Portugal Portugal,265951.26,194
51.,South Africa South Africa,261704.34,142
52.,Austria Austria,253275.75,183
53.,Romania Romania,237885.09,102
54.,Bosnia and Herzegovina Bosnia and Herzegovina,232758.45,12
55.,Latvia Latvia,225604.77,94
56.,Serbia Serbia,213011.15,70
57.,Peru Peru,202527.19,108
58.,Ireland Ireland,187334.96,60
59.,Macao Macao,172189.85,15
60.,Slovenia Slovenia,156428.49,31
61.,Chile Chile,151101.80,117
62.,India India,144575.13,124
63.,Gibraltar Gibraltar,119304.51,1
64.,Colombia Colombia,99811.06,41
65.,Dominican Republic Dominican Republic,84988.56,12
66.,United Arab Emirates United Arab Emirates,69672.84,28
67.,Moldova Republic of Moldova Republic of,64777.79,7
68.,Armenia Armenia,64710.02,17
69.,Puerto Rico Puerto Rico,61445.12,9
70.,Kyrgyzstan Kyrgyzstan,54299.99,25
71.,Malta Malta,53229.74,41
72.,Tunisia Tunisia,49346.16,19
73.,Mongolia Mongolia,47936.18,21
74.,Iceland Iceland,47050.97,16
75.,Palestine State of Palestine State of,38889.50,4
76.,Kuwait Kuwait,38702.09,26
77.,Myanmar Myanmar,36767.84,73
78.,Uruguay Uruguay,36766.96,20
79.,North Macedonia North Macedonia,35762.50,10
80.,Cuba Cuba,30498.35,4
81.,Morocco Morocco,28649.29,13
82.,Panama Panama,27085.00,7
83.,Venezuela Venezuela,26318.50,17
84.,Montenegro Montenegro,23742.98,3
85.,Ethiopia Ethiopia,22796.63,1
86.,Algeria Algeria,19249.31,14
87.,Egypt Egypt,15794.49,16
88.,Ecuador Ecuador,11593.33,3
89.,Faroe Islands Faroe Islands,9070.05,20
90.,Guadeloupe Guadeloupe,8330.00,1
91.,Bolivia Bolivia,7460.44,4
92.,Uzbekistan Uzbekistan,7430.59,5
93.,Lao People's Democratic Republic Lao People's Democratic Republic,7305.66,28
94.,Azerbaijan Azerbaijan,7035.21,12
95.,Bahrain Bahrain,5867.82,3
96.,Syrian Arab Republic Syrian Arab Republic,5810.26,5
97.,Iran Islamic Republic of Iran Islamic Republic of,5596.50,23
98.,Iraq Iraq,5358.82,9
99.,Mauritius Mauritius,5344.33,2
100.,Luxembourg Luxembourg,4542.53,6
101.,Brunei Darussalam Brunei Darussalam,4217.33,25
102.,Nicaragua Nicaragua,3802.88,1
103.,Georgia Georgia,3799.88,13
104.,Guatemala Guatemala,3753.33,7
105.,Jersey Jersey,3333.33,1
106.,Afghanistan Afghanistan,3000.00,1
107.,Cambodia Cambodia,2250.00,26
108.,Costa Rica Costa Rica,2091.56,6
109.,Kosovo Republic of Kosovo Republic of,1841.83,5
110.,Greenland Greenland,1500.00,1
111.,Albania Albania,1346.55,3
112.,New Caledonia New Caledonia,1000.00,1
113.,Bangladesh Bangladesh,600.00,6
114.,Qatar Qatar,570.28,1
115.,Trinidad and Tobago Trinidad and Tobago,543.38,1
116.,Zambia Zambia,411.24,2
117.,El Salvador El Salvador,409.72,1
118.,Sri Lanka Sri Lanka,285.14,1
119.,Bermuda Bermuda,200.00,1
120.,Bahamas Bahamas,197.00,1
121.,Cyprus Cyprus,133.33,1
122.,Maldives Maldives,121.54,2
123.,Yemen Yemen,120.00,1
124.,Monaco Monaco,113.00,1
125.,Paraguay Paraguay,54.94,1
126.,United States Minor Outlying Islands United States Minor Outlying Islands,30.00,1
127.,Isle of Man Isle of Man,15.00,1
