Position,Country,Gain_Earn,Players
1.,United States United States,1569044.56,504
2.,Korea Republic of Korea Republic of,1542607.08,212
3.,United Kingdom United Kingdom,832180.83,205
4.,Sweden Sweden,521539.40,141
5.,Germany Germany,488060.74,209
6.,China China,319273.84,103
7.,Denmark Denmark,263385.12,114
8.,Russian Federation Russian Federation,217696.40,205
9.,France France,204215.12,150
10.,Canada Canada,170432.79,63
11.,Netherlands Netherlands,148646.62,65
12.,Poland Poland,125957.15,27
13.,Spain Spain,116435.13,48
14.,Ukraine Ukraine,106744.51,60
15.,Finland Finland,95177.60,85
16.,Brazil Brazil,66709.25,11
17.,Italy Italy,60765.25,23
18.,Portugal Portugal,56184.38,22
19.,Singapore Singapore,55469.50,20
20.,Australia Australia,47000.00,11
21.,Austria Austria,43786.37,12
22.,Mexico Mexico,30035.95,11
23.,Japan Japan,28931.00,9
24.,Belgium Belgium,26817.85,26
25.,Czech Republic Czech Republic,23606.81,18
26.,Belarus Belarus,22583.33,3
27.,Taiwan Republic of China Taiwan Republic of China,22000.00,7
28.,Romania Romania,20477.40,10
29.,Norway Norway,15603.56,33
30.,Slovakia Slovakia,14006.67,14
31.,Hungary Hungary,12989.90,30
32.,Malaysia Malaysia,8000.00,5
33.,Bulgaria Bulgaria,7352.44,16
34.,Croatia Croatia,7258.34,2
35.,Malta Malta,3148.29,9
36.,Argentina Argentina,3000.00,1
37.,Hong Kong Hong Kong,2495.48,12
38.,Turkey Turkey,2475.84,8
39.,Switzerland Switzerland,2012.79,4
40.,Iceland Iceland,1407.62,1
41.,Estonia Estonia,1332.96,2
42.,Serbia Serbia,1080.00,1
43.,Lithuania Lithuania,816.50,6
44.,Slovenia Slovenia,666.48,1
45.,Ireland Ireland,655.20,2
46.,Latvia Latvia,648.90,1
47.,South Africa South Africa,404.83,1
48.,Ecuador Ecuador,347.74,1
49.,Kazakhstan Kazakhstan,329.67,1
50.,Puerto Rico Puerto Rico,222.00,2
