Position,Country,Gain_Earn,Players
1.,Korea Republic of Korea Republic of,5449214.35,462
2.,United States United States,3759363.19,1171
3.,Sweden Sweden,2732528.77,274
4.,China China,2506971.73,295
5.,Ukraine Ukraine,719585.90,98
6.,Russian Federation Russian Federation,641716.82,327
7.,Germany Germany,578564.02,345
8.,Canada Canada,517706.93,187
9.,France France,517111.53,310
10.,Malaysia Malaysia,416078.12,64
11.,Denmark Denmark,256048.44,151
12.,Taiwan Republic of China Taiwan Republic of China,244375.01,51
13.,Poland Poland,231200.25,149
14.,Spain Spain,221487.47,98
15.,Estonia Estonia,217960.90,15
16.,Hong Kong Hong Kong,208956.78,44
17.,United Kingdom United Kingdom,195828.80,253
18.,Netherlands Netherlands,185058.59,93
19.,Finland Finland,159734.73,130
20.,Brazil Brazil,138104.29,88
21.,Singapore Singapore,127155.15,74
22.,Philippines Philippines,100311.16,51
23.,Norway Norway,96767.62,60
24.,Japan Japan,96449.70,71
25.,Belgium Belgium,86629.71,36
26.,Thailand Thailand,83779.54,91
27.,Australia Australia,80916.21,39
28.,Lithuania Lithuania,79249.81,23
29.,Mexico Mexico,68384.71,32
30.,Turkey Turkey,59515.44,39
31.,Ireland Ireland,52043.87,7
32.,Viet Nam Viet Nam,51173.76,115
33.,Bulgaria Bulgaria,38655.02,12
34.,Italy Italy,37858.80,50
35.,Belarus Belarus,34410.13,20
36.,Czech Republic Czech Republic,30432.56,54
37.,Kazakhstan Kazakhstan,26496.01,34
38.,Israel Israel,26195.66,4
39.,Indonesia Indonesia,22000.00,20
40.,Armenia Armenia,17287.45,2
41.,Macao Macao,16213.62,1
42.,Romania Romania,15934.02,28
43.,Morocco Morocco,15800.47,6
44.,Serbia Serbia,15034.13,22
45.,Switzerland Switzerland,13925.27,14
46.,Argentina Argentina,13522.94,14
47.,Greece Greece,12994.95,23
48.,Peru Peru,12179.66,18
49.,Venezuela Venezuela,11465.16,10
50.,Iran Islamic Republic of Iran Islamic Republic of,11035.88,5
51.,Austria Austria,10173.00,16
52.,Slovakia Slovakia,9532.80,26
53.,Portugal Portugal,8943.51,40
54.,Croatia Croatia,8767.97,10
55.,Azerbaijan Azerbaijan,7900.00,11
56.,Hungary Hungary,6812.06,29
57.,Uruguay Uruguay,6000.00,1
58.,Chile Chile,5948.79,12
59.,Bosnia and Herzegovina Bosnia and Herzegovina,5061.94,5
60.,Moldova Republic of Moldova Republic of,4008.57,3
61.,Slovenia Slovenia,3807.28,9
62.,Puerto Rico Puerto Rico,3538.10,2
63.,New Zealand New Zealand,3527.05,4
64.,Cuba Cuba,3000.00,1
65.,Malta Malta,2536.00,33
66.,Kuwait Kuwait,2000.00,5
67.,Åland Islands Åland Islands,1477.38,13
68.,Latvia Latvia,1283.83,3
69.,United Arab Emirates United Arab Emirates,1200.00,2
70.,Iceland Iceland,820.90,7
71.,Jordan Jordan,800.00,4
72.,India India,775.00,1
73.,Paraguay Paraguay,600.00,1
74.,North Macedonia North Macedonia,550.00,5
75.,Costa Rica Costa Rica,400.00,1
76.,Saudi Arabia Saudi Arabia,255.00,1
77.,Albania Albania,216.77,1
78.,Faroe Islands Faroe Islands,40.00,1
