Position,Country,Gain_Earn,Players
1.,China China,12394035.29,458
2.,Korea Republic of Korea Republic of,5830930.67,517
3.,United States United States,4031712.91,1801
4.,Sweden Sweden,2133514.58,367
5.,Canada Canada,1427151.96,255
6.,Russian Federation Russian Federation,1298221.39,343
7.,Ukraine Ukraine,1036555.35,106
8.,Germany Germany,898393.51,390
9.,Taiwan Republic of China Taiwan Republic of China,797188.57,121
10.,France France,673145.55,363
11.,Denmark Denmark,669605.85,190
12.,Malaysia Malaysia,583502.28,68
13.,Poland Poland,488547.21,211
14.,Singapore Singapore,437998.88,64
15.,Netherlands Netherlands,359312.43,109
16.,United Kingdom United Kingdom,309519.86,317
17.,Romania Romania,308106.44,56
18.,Australia Australia,251144.53,135
19.,Thailand Thailand,242936.83,115
20.,Brazil Brazil,242618.15,157
21.,Finland Finland,241378.51,203
22.,Estonia Estonia,229422.58,18
23.,Norway Norway,198037.00,85
24.,Spain Spain,193625.17,163
25.,Japan Japan,166111.30,99
26.,Philippines Philippines,152844.19,64
27.,Macao Macao,149017.41,2
28.,Turkey Turkey,143983.93,64
29.,Viet Nam Viet Nam,134689.85,101
30.,Hong Kong Hong Kong,125949.44,53
31.,Mexico Mexico,97489.81,27
32.,Belarus Belarus,95633.61,31
33.,Israel Israel,64975.19,10
34.,Belgium Belgium,62153.69,58
35.,Argentina Argentina,56007.12,36
36.,Greece Greece,53771.95,70
37.,Peru Peru,43229.50,17
38.,Moldova Republic of Moldova Republic of,42328.52,3
39.,Chile Chile,39469.83,34
40.,Czech Republic Czech Republic,35636.55,57
41.,Hungary Hungary,35584.65,33
42.,Slovakia Slovakia,35085.00,33
43.,Kazakhstan Kazakhstan,30581.57,35
44.,Serbia Serbia,26685.89,22
45.,Morocco Morocco,23822.38,3
46.,Austria Austria,23074.72,26
47.,Italy Italy,21453.36,42
48.,Portugal Portugal,21327.72,59
49.,Switzerland Switzerland,18331.49,17
50.,Uruguay Uruguay,17257.19,3
51.,Bulgaria Bulgaria,17156.36,39
52.,Venezuela Venezuela,16935.35,13
53.,Indonesia Indonesia,16893.12,24
54.,Ireland Ireland,14434.81,11
55.,Croatia Croatia,13369.11,31
56.,New Zealand New Zealand,11895.00,15
57.,Colombia Colombia,9800.00,11
58.,Lithuania Lithuania,9591.14,38
59.,Slovenia Slovenia,7466.79,13
60.,Armenia Armenia,5300.00,1
61.,Tunisia Tunisia,5137.02,2
62.,Latvia Latvia,4694.70,10
63.,Malta Malta,4612.88,48
64.,South Africa South Africa,4270.20,30
65.,Iran Islamic Republic of Iran Islamic Republic of,4128.87,2
66.,Bolivia Bolivia,3911.60,1
67.,Iceland Iceland,3834.31,7
68.,Azerbaijan Azerbaijan,3700.00,7
69.,Bosnia and Herzegovina Bosnia and Herzegovina,3501.46,7
70.,Costa Rica Costa Rica,3500.00,1
71.,Panama Panama,3500.00,1
72.,Cuba Cuba,3400.00,2
73.,Iraq Iraq,2600.00,1
74.,India India,2152.27,9
75.,Puerto Rico Puerto Rico,2102.07,2
76.,Mongolia Mongolia,1274.00,2
77.,Ecuador Ecuador,1200.00,1
78.,Saudi Arabia Saudi Arabia,981.33,2
79.,Lao People's Democratic Republic Lao People's Democratic Republic,779.04,1
80.,Georgia Georgia,750.00,2
81.,Afghanistan Afghanistan,632.46,2
82.,Albania Albania,527.07,3
83.,Luxembourg Luxembourg,411.45,3
84.,Bahrain Bahrain,373.34,1
85.,North Macedonia North Macedonia,227.10,1
86.,Montenegro Montenegro,187.05,5
87.,Brunei Darussalam Brunei Darussalam,91.60,5
88.,Cyprus Cyprus,31.15,1
