Position,Country,Gain_Earn,Players
1.,United States United States,2054636.01,603
2.,Korea Republic of Korea Republic of,1543050.73,142
3.,Sweden Sweden,467060.41,144
4.,Germany Germany,426236.70,221
5.,Canada Canada,322959.50,112
6.,China China,280072.72,134
7.,Russian Federation Russian Federation,273603.30,180
8.,France France,205864.71,120
9.,Poland Poland,201387.74,51
10.,Denmark Denmark,193117.38,87
11.,United Kingdom United Kingdom,187310.46,115
12.,Netherlands Netherlands,128866.05,46
13.,Finland Finland,127774.70,61
14.,Ukraine Ukraine,116652.80,107
15.,Brazil Brazil,101838.71,46
16.,Norway Norway,92795.21,53
17.,Singapore Singapore,36359.26,16
18.,Mexico Mexico,35100.00,16
19.,Japan Japan,30557.13,14
20.,Australia Australia,24443.09,24
21.,Italy Italy,23333.43,17
22.,Austria Austria,21779.83,15
23.,Spain Spain,21526.68,26
24.,Serbia Serbia,13266.67,1
25.,Belgium Belgium,11899.76,15
26.,Bulgaria Bulgaria,11581.74,11
27.,Belarus Belarus,10296.82,4
28.,Estonia Estonia,6464.67,4
29.,Czech Republic Czech Republic,5890.54,21
30.,Kazakhstan Kazakhstan,5471.00,8
31.,Slovenia Slovenia,5342.39,2
32.,Slovakia Slovakia,4666.81,18
33.,Turkey Turkey,4496.83,6
34.,Hungary Hungary,4408.26,25
35.,Switzerland Switzerland,4075.38,17
36.,Portugal Portugal,3720.32,11
37.,Hong Kong Hong Kong,3428.56,4
38.,Taiwan Republic of China Taiwan Republic of China,3406.97,2
39.,Ireland Ireland,3363.23,3
40.,Peru Peru,3116.40,3
41.,Croatia Croatia,2971.63,3
42.,Latvia Latvia,2968.55,2
43.,Romania Romania,2700.00,15
44.,Viet Nam Viet Nam,866.67,2
45.,Argentina Argentina,800.00,2
46.,Iceland Iceland,395.78,1
47.,New Zealand New Zealand,395.56,1
48.,Chile Chile,387.30,3
49.,Lithuania Lithuania,200.00,1
50.,Moldova Republic of Moldova Republic of,98.00,5
