Position,Country,Gain_Earn,Players
1.,United States United States,847732.98,305
2.,Korea Republic of Korea Republic of,841409.04,100
3.,Germany Germany,430267.92,178
4.,Sweden Sweden,401672.14,110
5.,Netherlands Netherlands,271416.76,17
6.,China China,221158.28,79
7.,Italy Italy,180460.23,6
8.,Russian Federation Russian Federation,177811.69,138
9.,Norway Norway,136776.08,56
10.,Canada Canada,122441.67,29
11.,Denmark Denmark,91343.60,59
12.,Brazil Brazil,85315.15,44
13.,France France,82799.36,58
14.,Austria Austria,57345.96,14
15.,United Kingdom United Kingdom,53969.54,13
16.,Spain Spain,35343.64,26
17.,Finland Finland,31744.32,31
18.,Poland Poland,31556.40,14
19.,Estonia Estonia,30833.37,11
20.,Kazakhstan Kazakhstan,28360.71,8
21.,Japan Japan,18275.00,19
22.,Bulgaria Bulgaria,16591.85,8
23.,Ukraine Ukraine,15072.33,38
24.,Saudi Arabia Saudi Arabia,13000.00,1
25.,Singapore Singapore,11044.75,4
26.,Australia Australia,8200.00,6
27.,Belgium Belgium,7306.75,7
28.,Serbia Serbia,6500.00,6
29.,Lithuania Lithuania,5911.20,1
30.,Hungary Hungary,5591.25,2
31.,Slovenia Slovenia,4166.67,1
32.,Croatia Croatia,3590.89,1
33.,Czech Republic Czech Republic,2919.82,3
34.,Argentina Argentina,2850.00,18
35.,Turkey Turkey,2802.15,6
36.,Romania Romania,1500.00,6
37.,Belarus Belarus,1312.26,11
38.,Israel Israel,1300.00,1
39.,Thailand Thailand,1268.39,1
40.,Switzerland Switzerland,1000.00,1
41.,New Zealand New Zealand,600.00,1
42.,Chile Chile,575.00,6
43.,Viet Nam Viet Nam,450.00,6
44.,Malta Malta,350.00,1
45.,Iceland Iceland,157.79,1
46.,Venezuela Venezuela,150.00,1
47.,Greece Greece,119.49,1
48.,Hong Kong Hong Kong,100.00,1
49.,Portugal Portugal,50.00,1
