Position,Country,Gain_Earn,Players
1.,United States United States,1553259.46,391
2.,Korea Republic of Korea Republic of,972180.61,137
3.,Sweden Sweden,578527.48,113
4.,Germany Germany,421400.54,198
5.,China China,393250.84,103
6.,Russian Federation Russian Federation,362312.78,178
7.,France France,210692.54,96
8.,Poland Poland,117577.46,29
9.,Brazil Brazil,115742.45,57
10.,Netherlands Netherlands,107229.41,47
11.,Norway Norway,102534.81,52
12.,Ukraine Ukraine,74100.57,77
13.,Denmark Denmark,69003.91,66
14.,Spain Spain,60848.70,24
15.,Canada Canada,59508.44,36
16.,Finland Finland,57884.86,47
17.,United Kingdom United Kingdom,39707.06,42
18.,Estonia Estonia,38288.25,14
19.,Austria Austria,36157.87,12
20.,Italy Italy,25388.84,16
21.,Japan Japan,25100.12,15
22.,Australia Australia,21182.50,14
23.,Belarus Belarus,19669.11,7
24.,Romania Romania,17073.70,12
25.,Bulgaria Bulgaria,14753.05,6
26.,Croatia Croatia,10250.47,3
27.,Mexico Mexico,10020.00,4
28.,Belgium Belgium,9178.90,10
29.,Czech Republic Czech Republic,8554.06,20
30.,Kazakhstan Kazakhstan,4981.10,13
31.,Portugal Portugal,3802.25,30
32.,Peru Peru,3200.00,3
33.,Turkey Turkey,2608.70,4
34.,Malaysia Malaysia,2500.00,5
35.,Greece Greece,2370.00,6
36.,Hong Kong Hong Kong,2280.00,4
37.,Ireland Ireland,1903.50,5
38.,Switzerland Switzerland,1689.55,5
39.,Taiwan Republic of China Taiwan Republic of China,1641.55,4
40.,Argentina Argentina,1632.74,7
41.,Indonesia Indonesia,1581.69,6
42.,Singapore Singapore,1514.46,4
43.,Thailand Thailand,1450.00,1
44.,Serbia Serbia,1102.67,1
45.,Israel Israel,866.67,1
46.,South Africa South Africa,770.71,5
47.,Hungary Hungary,696.32,3
48.,Slovakia Slovakia,500.00,5
49.,Lithuania Lithuania,392.00,2
50.,Venezuela Venezuela,350.00,2
51.,Colombia Colombia,300.00,1
52.,Viet Nam Viet Nam,264.90,19
53.,Latvia Latvia,150.00,1
54.,Iran Islamic Republic of Iran Islamic Republic of,88.84,1
55.,Malta Malta,70.00,1
56.,Slovenia Slovenia,37.50,1
57.,Morocco Morocco,25.59,1
