Position,Country,Gain_Earn,Players
1.,China China,19362709.90,1445
2.,United States United States,15564133.19,3456
3.,Korea Republic of Korea Republic of,12245056.20,979
4.,Denmark Denmark,5039639.52,386
5.,Germany Germany,4990949.69,796
6.,Sweden Sweden,4834783.69,634
7.,Finland Finland,4011913.40,371
8.,France France,3886687.25,829
9.,Russian Federation Russian Federation,3773915.68,667
10.,Brazil Brazil,3404463.00,758
11.,Canada Canada,2986896.20,582
12.,United Kingdom United Kingdom,2920018.86,679
13.,Ukraine Ukraine,2853966.33,173
14.,Jordan Jordan,2735011.78,20
15.,Bulgaria Bulgaria,2638139.17,96
16.,Australia Australia,2583868.04,602
17.,Poland Poland,2460587.91,616
18.,Lebanon Lebanon,2450968.76,23
19.,Philippines Philippines,2285223.39,169
20.,Taiwan Republic of China Taiwan Republic of China,1709168.29,237
21.,Malaysia Malaysia,1125729.13,173
22.,Netherlands Netherlands,1046676.56,263
23.,Japan Japan,922014.45,245
24.,Viet Nam Viet Nam,883883.63,341
25.,Thailand Thailand,839933.53,321
26.,Norway Norway,748131.21,170
27.,Spain Spain,654886.78,336
28.,Kazakhstan Kazakhstan,628416.48,55
29.,Mexico Mexico,564794.55,93
30.,Macao Macao,560661.66,3
31.,Turkey Turkey,498586.08,155
32.,Italy Italy,473800.93,227
33.,Israel Israel,473041.17,51
34.,Slovakia Slovakia,465470.23,72
35.,Estonia Estonia,461646.45,71
36.,Singapore Singapore,443819.72,167
37.,Belarus Belarus,424370.89,65
38.,Peru Peru,402148.78,103
39.,Bosnia and Herzegovina Bosnia and Herzegovina,349318.60,13
40.,Czech Republic Czech Republic,348030.30,159
41.,Belgium Belgium,282227.20,117
42.,Pakistan Pakistan,278361.70,16
43.,Dominican Republic Dominican Republic,270184.87,5
44.,Hong Kong Hong Kong,249062.25,90
45.,South Africa South Africa,246525.58,182
46.,Croatia Croatia,245289.88,56
47.,Chile Chile,216088.06,97
48.,Romania Romania,215696.97,73
49.,Indonesia Indonesia,209109.10,159
50.,Portugal Portugal,206608.22,204
51.,Argentina Argentina,203828.09,137
52.,Saudi Arabia Saudi Arabia,180086.05,14
53.,Austria Austria,178450.85,79
54.,Serbia Serbia,178185.53,79
55.,New Zealand New Zealand,177418.30,75
56.,Greece Greece,166332.70,98
57.,Ireland Ireland,136078.64,30
58.,Hungary Hungary,130232.92,93
59.,Switzerland Switzerland,106571.96,79
60.,Lithuania Lithuania,91130.25,74
61.,India India,86484.89,169
62.,North Macedonia North Macedonia,78116.51,5
63.,Puerto Rico Puerto Rico,77141.17,17
64.,Colombia Colombia,69260.16,30
65.,Slovenia Slovenia,62699.43,26
66.,Latvia Latvia,60927.95,72
67.,United Arab Emirates United Arab Emirates,50351.63,24
68.,Algeria Algeria,35959.68,17
69.,Bahrain Bahrain,33195.00,2
70.,Mongolia Mongolia,32116.97,29
71.,Iraq Iraq,31920.60,10
72.,Montenegro Montenegro,27550.00,2
73.,Moldova Republic of Moldova Republic of,27521.74,7
74.,Uruguay Uruguay,22952.49,14
75.,Kuwait Kuwait,19250.07,24
76.,Kyrgyzstan Kyrgyzstan,15648.53,14
77.,Iceland Iceland,14681.24,27
78.,Armenia Armenia,13960.05,4
79.,Morocco Morocco,13488.70,13
80.,Venezuela Venezuela,11541.34,37
81.,Ecuador Ecuador,10263.49,5
82.,Malta Malta,9250.25,50
83.,Nicaragua Nicaragua,9091.07,1
84.,Tunisia Tunisia,7215.41,12
85.,Egypt Egypt,6748.68,12
86.,El Salvador El Salvador,6300.00,6
87.,Cambodia Cambodia,5468.82,6
88.,Panama Panama,5457.14,4
89.,Gibraltar Gibraltar,4500.00,1
90.,Georgia Georgia,4256.13,28
91.,Sri Lanka Sri Lanka,3663.40,16
92.,Uzbekistan Uzbekistan,3512.18,3
93.,Azerbaijan Azerbaijan,3136.66,7
94.,Guatemala Guatemala,2884.54,9
95.,Albania Albania,2868.16,2
96.,Bolivia Bolivia,2108.25,2
97.,Syrian Arab Republic Syrian Arab Republic,1606.37,3
98.,Lao People's Democratic Republic Lao People's Democratic Republic,1344.55,5
99.,Cuba Cuba,1155.00,2
100.,Bangladesh Bangladesh,935.65,10
101.,Kosovo Republic of Kosovo Republic of,834.33,1
102.,Palestine State of Palestine State of,659.32,3
103.,Trinidad and Tobago Trinidad and Tobago,594.75,1
104.,Kenya Kenya,575.06,1
105.,Madagascar Madagascar,458.00,1
106.,Iran Islamic Republic of Iran Islamic Republic of,381.60,9
107.,Costa Rica Costa Rica,309.65,2
108.,Åland Islands Åland Islands,250.00,1
109.,Ethiopia Ethiopia,139.99,1
110.,Andorra Andorra,139.71,1
111.,Luxembourg Luxembourg,130.65,3
112.,New Caledonia New Caledonia,112.97,1
113.,Monaco Monaco,112.50,1
114.,Paraguay Paraguay,112.50,1
115.,Bahamas Bahamas,66.00,1
116.,French Polynesia French Polynesia,45.00,1
117.,Cyprus Cyprus,33.33,1
118.,Saint Kitts and Nevis Saint Kitts and Nevis,20.00,1
119.,Faroe Islands Faroe Islands,11.55,1
