Position,Country,Gain_Earn,Players
1.,Korea Republic of Korea Republic of,2739584.06,303
2.,United States United States,2086080.37,782
3.,Ukraine Ukraine,830932.01,55
4.,China China,748198.44,196
5.,United Kingdom United Kingdom,480456.74,200
6.,Sweden Sweden,476577.35,146
7.,Russian Federation Russian Federation,400930.77,129
8.,France France,360878.60,235
9.,Germany Germany,334914.58,210
10.,Poland Poland,275466.36,83
11.,Canada Canada,227118.32,131
12.,Estonia Estonia,204897.31,19
13.,Denmark Denmark,194704.61,116
14.,Singapore Singapore,154154.25,22
15.,Finland Finland,107864.51,85
16.,Taiwan Republic of China Taiwan Republic of China,72139.74,19
17.,Japan Japan,59438.30,15
18.,Netherlands Netherlands,54215.54,57
19.,Spain Spain,47897.53,45
20.,Thailand Thailand,42298.67,14
21.,Belgium Belgium,35217.22,32
22.,Australia Australia,32330.20,30
23.,Portugal Portugal,32290.21,36
24.,Kazakhstan Kazakhstan,28410.89,207
25.,Brazil Brazil,26497.21,32
26.,Norway Norway,25351.14,31
27.,Malaysia Malaysia,24160.59,20
28.,Italy Italy,23294.41,18
29.,Romania Romania,19041.52,31
30.,Belarus Belarus,17908.21,11
31.,Serbia Serbia,16473.69,31
32.,Slovakia Slovakia,14393.27,8
33.,Bosnia and Herzegovina Bosnia and Herzegovina,13994.39,2
34.,Austria Austria,13884.61,29
35.,Bulgaria Bulgaria,13036.75,29
36.,Cuba Cuba,12000.00,1
37.,Israel Israel,11842.89,9
38.,Mexico Mexico,11558.00,5
39.,Kyrgyzstan Kyrgyzstan,11281.99,8
40.,Croatia Croatia,10982.40,8
41.,Philippines Philippines,10636.26,14
42.,Macao Macao,10327.42,1
43.,Peru Peru,10241.74,9
44.,Chile Chile,8534.04,3
45.,Turkey Turkey,7182.92,10
46.,Hong Kong Hong Kong,6815.84,15
47.,Czech Republic Czech Republic,6276.94,23
48.,New Zealand New Zealand,6010.18,3
49.,Hungary Hungary,5931.17,16
50.,Switzerland Switzerland,5489.45,6
51.,Colombia Colombia,5000.00,1
52.,Iceland Iceland,5000.00,1
53.,Saudi Arabia Saudi Arabia,3972.00,1
54.,Viet Nam Viet Nam,3524.40,34
55.,South Africa South Africa,3209.35,11
56.,Lithuania Lithuania,3137.96,12
57.,United Arab Emirates United Arab Emirates,3003.00,7
58.,North Macedonia North Macedonia,2730.00,8
59.,Uzbekistan Uzbekistan,2649.59,8
60.,Puerto Rico Puerto Rico,2224.50,2
61.,Indonesia Indonesia,2000.00,5
62.,Ireland Ireland,1362.61,6
63.,Venezuela Venezuela,1357.14,1
64.,Lebanon Lebanon,666.67,1
65.,Latvia Latvia,482.49,13
66.,Greece Greece,427.85,10
67.,Panama Panama,400.00,1
68.,Armenia Armenia,278.60,1
69.,India India,273.00,1
70.,Pakistan Pakistan,273.00,1
71.,Argentina Argentina,200.00,1
72.,Iran Islamic Republic of Iran Islamic Republic of,137.64,1
73.,Morocco Morocco,83.25,1
